角色名,别名,启用,初登场作品（类型：exact）,发色（类型：exact-multi）,所属地点（类型：exact-multi）,种族（类型：category-multi）,是自机吗？（类型：category-multi）
博丽灵梦,,是,东方灵异传,黑/棕色,博丽神社,人类 > 人类,是 > 是弹幕作 | 是 > 是格斗作
雾雨魔理沙,,是,东方封魔录,金色,魔法森林,人类 > 人类,是 > 是弹幕作 | 是 > 是格斗作
露米娅,,是,东方红魔乡,金色,其他/不定,妖怪 > 妖怪,不是 > 不是
琪露诺,,是,东方红魔乡,蓝色,雾之湖,妖怪 > 妖精,是 > 是弹幕作 | 是 > 是格斗作
红美铃,,是,东方红魔乡,红色,红魔馆,妖怪 > 妖怪,是 > 是格斗作
帕秋莉·诺蕾姬,,是,东方红魔乡,紫色,红魔馆,妖怪 > 魔法使,是 > 是格斗作
十六夜咲夜,,是,东方红魔乡,银/白/灰色,红魔馆,人类 > 人类,是 > 是弹幕作 | 是 > 是格斗作
蕾米莉亚·斯卡蕾特,,是,东方红魔乡,蓝色,红魔馆,妖怪 > 吸血鬼,是 > 是弹幕作 | 是 > 是格斗作
芙兰朵露·斯卡蕾特,,是,东方红魔乡,金色,红魔馆,妖怪 > 吸血鬼,是 > 是格斗作
大妖精,,是,东方红魔乡,绿色,其他/不定,妖怪 > 妖精,不是 > 不是
小恶魔,,是,东方红魔乡,红色,红魔馆,妖怪 > 恶魔,不是 > 不是
莉莉霍瓦特,,是,东方妖妖梦,金色,其他/不定,妖怪 > 妖精,不是 > 不是
莉格露·奈特巴格,,是,东方永夜抄,绿色,其他/不定,妖怪 > 妖怪,不是 > 不是
米斯蒂娅·萝蕾拉,,是,东方永夜抄,黑/棕色,其他/不定,妖怪 > 妖怪,是 > 是弹幕作
上白泽慧音,,是,东方永夜抄,蓝色 | 绿色 | 银/白/灰色,人类村落,妖怪 > 兽人,不是 > 不是
铃仙·优昙华院·因幡,,是,东方永夜抄,粉色,迷途竹林,妖怪 > 月兔 | 妖怪 > 妖兽,是 > 是弹幕作 | 是 > 是格斗作
因幡天为,,是,东方永夜抄,黑/棕色,迷途竹林,妖怪 > 妖兽,是 > 是弹幕作
八意永琳,,是,东方永夜抄,银/白/灰色,迷途竹林,神明 > 月之民,不是 > 不是
蓬莱山辉夜,,是,东方永夜抄,黑/棕色,迷途竹林,神明 > 月之民,不是 > 不是
藤原妹红,,是,东方永夜抄,银/白/灰色,迷途竹林,人类 > 不死人,是 > 是格斗作
伊吹萃香,,是,东方萃梦想,金色,妖怪之山,妖怪 > 鬼,是 > 是弹幕作 | 是 > 是格斗作
射命丸文,,是,东方文花帖（书籍）,黑/棕色,妖怪之山,妖怪 > 天狗,是 > 是弹幕作 | 是 > 是格斗作
梅蒂欣·梅兰可莉,,是,东方花映塚,金色,无名之丘,妖怪 > 妖怪,是 > 是弹幕作
风见幽香,,是,东方花映塚,绿色,太阳花田,妖怪 > 妖怪,是 > 是弹幕作
小野塚小町,,是,东方花映塚,黑/棕色,彼岸/三途河,神明 > 死神,是 > 是弹幕作 | 是 > 是格斗作
四季映姬·夜摩仙那度,,是,东方花映塚,绿色,彼岸/三途河,神明 > 阎魔,是 > 是弹幕作
永江衣玖,,是,东方绯想天,紫色,云层/天界,妖怪 > 龙宫使者,是 > 是格斗作
比那名居天子,,是,东方绯想天,蓝色,云层/天界,神明 > 天人,是 > 是格斗作
黑谷山女,,是,东方地灵殿,金色,地底,妖怪 > 妖怪,不是 > 不是
水桥帕露西,,是,东方地灵殿,金色,地底,妖怪 > 妖怪,不是 > 不是
星熊勇仪,,是,东方地灵殿,金色,地底,妖怪 > 鬼,不是 > 不是
火焰猫燐,,是,东方地灵殿,红色,地底,妖怪 > 火车,是 > 是弹幕作
灵乌路空,,是,东方地灵殿,黑/棕色,地底,妖怪 > 地狱鸦,是 > 是格斗作
